#,Category,Difficulty,Type,Question,Correct A,Incorrect 1,Incorrect 2,Incorrect 3
4687,Celebrity Real Names,Easy,Text,Bollywood movies are made in which country?,India,China,Australia,Egypt
4688,Celebrity Real Names,Easy,Text,Bruges is a well-preserved medieval city in which country?,Belgium,Sweden,Finland,Denmark
4689,Celebrity Real Names,Easy,Text,Cairngorms National Park is a mountainous region of which country?,Scotland,Spain,Russia,Canada
4690,Celebrity Real Names,Easy,Text,Cantilever and Suspension are types of which structure?,Bridge,Road,House,Cathedral
4691,Celebrity Real Names,Easy,Text,Car exhaust fumes contain mainly what poisonous gas?,Carbon Monoxide,Nitrogen,Helium,Argon
4692,Celebrity Real Names,Easy,Text,Cartoon character Fred Flintstone is a fan of which sport?,Bowling,Tennis,Golf,Diving
4693,Celebrity Real Names,Easy,Text,Cartoon character Speedy Gonzalez is which creature?,Mouse,Snake,Dog,Cat
4694,Celebrity Real Names,Easy,Text,"Coal, natural gas, and oil are known as which class of fuels?",Fossil,Rock,Underground,Ancient
4695,Celebrity Real Names,Easy,Text,"Cuzco, the former capital of the Incan empire, is in which country?",Peru,Argentina,Mexico,Canada
4696,Celebrity Real Names,Easy,Text,Different things are described as being like chalk and which other object?,Cheese,Coffee,Chocolate,Chilli
4697,Celebrity Real Names,Easy,Text,"Divided into 100 centavos, what is the currency in Mexico?",Peso,Guilder,Lira,Dollar
4698,Celebrity Real Names,Easy,Text,Each section of play in a baseball game has which name?,Innings,Outings,Uppings,Crossings
4699,Celebrity Real Names,Easy,Text,Earl Lloyd was the first African-American to play which sport professionally?,Basketball,Football,Soccer,Baseball
4700,Celebrity Real Names,Easy,Text,"Easter Island, known for its massive stone statues, belongs to which country?",Chile,Canada,Brazil,Australia
4701,Celebrity Real Names,Easy,Text,Eating which sort of pie is an expression meaning admitting a mistake?,Humble,Greedy,Expensive,Friendly
4702,Celebrity Real Names,Easy,Text,"Family groups are called ""clans"" in which country?",Scotland,Germany,Russia,China
4703,Celebrity Real Names,Easy,Text,Farmland used for growing crops has which name?,Arable,Dairy,Forested,Arboreal
4704,Celebrity Real Names,Easy,Text,Favela is the term used for a shanty town in which part of the world?,South America,North America,Europe,Asia
4705,Celebrity Real Names,Easy,Text,Fendi is a designer fashion brand from which country?,Italy,Greece,United States,Australia
4706,Celebrity Real Names,Easy,Text,"Germany, Japan, and which other country constituted the Axis Powers?",Italy,Spain,China,Egypt
4707,Celebrity Real Names,Easy,Text,"Golf, Polo, and Passat are models made by which car company?",Volkswagen,Toyota,Honda,Fiat
4708,Celebrity Real Names,Easy,Text,"Green, white, and which other colour feature on the Irish flag?",Orange,Red,Yellow,Blue
4709,Celebrity Real Names,Easy,Text,Gulag was the name for a prison in which country?,Russia,Brazil,Japan,Australia
4710,Celebrity Real Names,Easy,Text,Harriet Tubman was a prominent figure on which railroad?,Underground,Trans-American,London Underground,Cosmic
4711,Celebrity Real Names,Easy,Text,Hershey is a famous American brand making which product?,Chocolate,Orange Juice,Cars,Footwear
4712,Celebrity Real Names,Easy,Text,"If the next word starts with a vowel, you don't write ""a"", but which two letter word instead?",An ,Al,At,Ab 
4713,Celebrity Real Names,Easy,Text,"If today is Tuesday, what word could be used to describe Monday?",Yesterday,Tomorrow,Last Week,Fortnight
4714,Celebrity Real Names,Easy,Text,"If you are Luke, who is your father?",Darth Vader,Han Solo,Chewbacca,Admiral Akbar
4715,Celebrity Real Names,Easy,Text,"If you commit to a difficult action, you are biting the what?",Bullet,Bread,Biscuit,Blini
4716,Celebrity Real Names,Easy,Text,"If you give up something completely, what do you go?",Cold Turkey,Wet Duck,Icy Eagle,Damp Pigeon
4717,Celebrity Real Names,Easy,Text,"If you have something to hide, what's in your closet?",Skeleton,Boots,Moths,Dog
4718,Celebrity Real Names,Easy,Text,"In ""Trivial Pursuit"", yellow questions are on which topic?",History,Entertainment,Geography,Art and Literature
4719,Celebrity Real Names,Easy,Text,"In a game of chess, which colour moves first?",White,Black,Red,Blue
4720,Celebrity Real Names,Easy,Text,"In comic books, which animal is Garfield?",Cat,Dog,Giraffe,Crocodile
4721,Celebrity Real Names,Easy,Text,"In German, which colour is ""Schwarz""?",Black,White,Red,Blue
4722,Celebrity Real Names,Easy,Text,In motoring what does BHP stand for?,Brake Horse Power,Big House Point,Blue Holly Pink,Burnt Pencil Horn
4723,Celebrity Real Names,Easy,Text,"In movies and literature, zombies are said to want to eat what?",Brain,Heart,Liver,Feet
4724,Celebrity Real Names,Easy,Text,"In Scotland, what is a loch?",Lake,Forests,Street,City
4725,Celebrity Real Names,Easy,Text,"In the children's rhyme, when Jack fell down, what did he break?",Crown,Finger,Ankle,Cellphone
4726,Celebrity Real Names,Easy,Text,"In the economic term GDP, what does the D stand for?",Domestic,Developed,Dangerous,Distinct
4727,Celebrity Real Names,Easy,Text,"In the English language, if a letter isn't a vowel, then what is it?",Consonant,Confluence,Cormorant ,Conjunction 
4728,Celebrity Real Names,Easy,Text,"In the name of the broadcaster BBC, what does the first B stand for?",British,Berlin,Bombay,Baltimore
4729,Celebrity Real Names,Easy,Text,"In the toy world, who is Ken's girlfriend?",Barbie,Susie,Candy,Angie
4730,Celebrity Real Names,Easy,Text,"In which building could you play blackjack, roulette, or poker?",Casino,Hospital,School,Fishmonger
4731,Celebrity Real Names,Easy,Text,"In which building would you find clerks, ushers, and a jury?",Courthouse,University,Hospital,Cathedral
4732,Celebrity Real Names,Easy,Text,In which country do sheep outnumber people by 5 to 1?,New Zealand,Norway,Ireland,Brazil
4733,Celebrity Real Names,Easy,Text,In which game do you collect money for passing Go and use chance cards?,Monopoly,Scrabble,Backgammon,Clue
4734,Celebrity Real Names,Easy,Text,In which place was the Fresh Prince born and raised?,West Philadelphia,East Boston,South Manhattan,Central Baltimore
4735,Celebrity Real Names,Easy,Text,In which US city do students attend Loyola University?,Chicago,New York,Philadelphia,Baltimore
4736,Celebrity Real Names,Easy,Text,Italian surnames Russo and Rossi both refer to which colour?,Red,Green ,White,Black
4737,Celebrity Real Names,Easy,Text,Jaipur is a historic city in the north of which country?,India,China,Japan,Brazil
4738,Celebrity Real Names,Easy,Text,JFK airport serves which US city?,New York,Washington DC,Boston,Baltimore
4739,Celebrity Real Names,Easy,Text,Jiminy Cricket was the conscience of which character?,Pinocchio,Rapunzel,Elsa,Aladdin
4740,Celebrity Real Names,Easy,Text,John Lennon airport serves which British city?,Liverpool,Manchester,Glasgow,Belfast
4741,Celebrity Real Names,Easy,Text,Kabuki is a form of theatre in which country?,Japan,India,Spain,Brazil
4742,Celebrity Real Names,Easy,Text,Legends about which English king first contain references to the Holy Grail?,Arthur,Harold,William the Conqueror,Canute
4743,Celebrity Real Names,Easy,Text,"Lourdes, Rocco, David, Mercy, Estere, and Stelle are the children of which singer?
",Madonna,Katy Perry,Miley Cyrus,Celine Dion
4744,Celebrity Real Names,Easy,Text,Luxury car maker Maserati is based in which country?,Italy,Switzerland,Norway,Finland
4745,Celebrity Real Names,Easy,Text,Merriam-Webster famously make which book?,Dictionary,Bible,Comic-Books,Biography
4746,Celebrity Real Names,Easy,Text,Milk of Magnesia is a traditional treatment for which condition?,Indigestion,Migraine,Bruises,Allergies
4747,Celebrity Real Names,Easy,Text,Mossad is the secret service of which country?,Israel,South Korea,Australia,China
4748,Celebrity Real Names,Easy,Text,"Murphy, Kelly, and Sullivan are common surnames in which European country?",Ireland,Portugal,Russia,Belgium
4749,Celebrity Real Names,Easy,Text,Mustafa Kemal Ataturk is regarded as founder of which republic?,Turkey,Kenya,Pakistan,China
4750,Celebrity Real Names,Easy,Text,"Offaly, Kerry, Carlow, and Sligo are counties in which country?",Ireland,Spain,Norway,Australia
4751,Celebrity Real Names,Easy,Text,"On a boat, what is the opposite of port?",Starboard,Aft,Stern,Centre
4752,Celebrity Real Names,Easy,Text,On which continent is India located?,Asia,Africa,South America,Europe
4753,Celebrity Real Names,Easy,Text,"On which occasion might an Italian wish you a ""buon compleanno""?",Birthday,New Year,Halloween,Christmas
4754,Celebrity Real Names,Easy,Text,On which part of the body would you wear a bandanna?,Head,Hip,Waist,Fingers
4755,Celebrity Real Names,Easy,Text,OPEC is an organisation for countries which produce what?,Oil,Gold,Cotton,Coal
4756,Celebrity Real Names,Easy,Text,"Orange in ""Trivial Pursuit"" represents which subject?",Sport,History,Art and Literature,Entertainment
4757,Celebrity Real Names,Easy,Text,"Pawns, Bishops, and Knights are pieces in which game?",Chess,Monopoly,Scrabble,Backgammon
4758,Celebrity Real Names,Easy,Text,"Pedal, handlebar, saddle, and bell are parts of which method of transport?",Bicycle,Skateboard,Aircraft,Car
4759,Celebrity Real Names,Easy,Text,People in which occupation draw pictures in books?,Illustrators,Jockeys,Archivists,Acupuncturists
4760,Celebrity Real Names,Easy,Text,People who are fit are compared to which instrument?,Fiddle,Harp,Drums,Cello
4761,Celebrity Real Names,Easy,Text,"People who are very similar are said to be like two of which items, in a pod?",Peas,Potatoes,Chocolates,Berries
4762,Celebrity Real Names,Easy,Text,Photophobia is extreme sensitivity to what?,Light,Water,Temperature,Animals
4763,Celebrity Real Names,Easy,Text,Political brothers Fidel and Raul had which first name?,Castro,Peron,Kennedy,Clinton
4764,Celebrity Real Names,Easy,Text,Queens and Brooklyn are boroughs of which US city?,New York,Miami,Los Angeles,Boston
4765,Celebrity Real Names,Easy,Text,Red and which other colour appear on the Spanish flag?,Yellow,Black,White,Blue
4766,Celebrity Real Names,Easy,Text,Revealing a secret is known as letting which animal out of the bag?,Cat,Pigs,Sheep,Fox
4767,Celebrity Real Names,Easy,Text,Richard Nixon represented which political party?,Republican,Democrat,Liberal,Conservative
4768,Celebrity Real Names,Easy,Text,Schonefeld airport serves which European city?,Berlin,Turin,Paris,Amsterdam
4769,Celebrity Real Names,Easy,Text,Siberia is a chilly region of which country?,Russia,Brazil,Australia,China
4770,Celebrity Real Names,Easy,Text,Singer Justin Bieber is from which country?,Canada,England,Ireland,Australia
4771,Celebrity Real Names,Easy,Text,Snow White was poisoned with which fruit?,Apple,Cherry,Peach,Banana
4772,Celebrity Real Names,Easy,Text,"Socrates, Pericles, and Pythagoras were all inhabitants of which ancient city?",Athens,Rome,Paris,Babylon
4773,Celebrity Real Names,Easy,Text,Someone very enthusiastic is as keen as which food?,Mustard,Mayonnaise,Salt,Butter 
4774,Celebrity Real Names,Easy,Text,Someone who is canonized becomes a what?,Saint,King,Prime Minister,Doctor
4775,Celebrity Real Names,Easy,Text,Someone who is knighted gets which title?,Sir,Lord,Duke,Earl
4776,Celebrity Real Names,Easy,Text,Someone who manages a museum has which job title?,Curator,Charger,Collector,Commander
4777,Celebrity Real Names,Easy,Text,Sonar refers to detection using what?,Sound,Light,Chemistry,Fingerprints
4778,Celebrity Real Names,Easy,Text,Stan Lee was creative director for which comic book brand?,Marvel,Super,Fabulous,Extreme
4779,Celebrity Real Names,Easy,Text,Sumatra is part of which Asian country?,Indonesia,Japan,China,Afghanistan
4780,Celebrity Real Names,Easy,Text,Swahili is a language spoken on which continent?,Africa,Asia,South America,Europe
4781,Celebrity Real Names,Easy,Text,Tarte Tatin is a traditional French dessert usually made with which fruit?,Apple,Pear,Banana,Cherry
4782,Celebrity Real Names,Easy,Text,"The Abominable Snowman, or Yeti, lives in which mountain range?",Himalayas,Atlas,Alps,Andes
4783,Celebrity Real Names,Easy,Text,The alleged Roswell UFO incident took place in which US state?,New Mexico,Florida,Utah,Colorado 
4784,Celebrity Real Names,Easy,Text,The annual Oscars ceremony is held in which US city?,Los Angeles,Miami,Salt Lake City,Boston
4785,Celebrity Real Names,Easy,Text,The Beatles came from which British city?,Liverpool,Manchester,Glasgow,Edinburgh
4786,Celebrity Real Names,Easy,Text,The Bible is the holy book of which religion?,Christianity,Sikhism,Hinduism,Buddhism
4787,Celebrity Real Names,Easy,Text,The Channel Islands lie between England and which country?,France,Germany,Norway,Finland
4788,Celebrity Real Names,Easy,Text,"The CIA has its headquarters in Langley, in which US state?",Virginia,Massachusetts,Rhode Island,California
4789,Celebrity Real Names,Easy,Text,The circle in the centre of the white Japanese flag is which colour?,Red,Green,Blue,Black
4790,Celebrity Real Names,Easy,Text,The Colorado town of Aspen is famous for which sport?,Skiing,Soccer,Kayaking,Boxing
4791,Celebrity Real Names,Easy,Text,The common phrase says you're better late than what?,Never,Early,Stranger,Friendly
4792,Celebrity Real Names,Easy,Text,The famous chocolate brand Lindt is made in which country?,Switzerland,Norway,France,Austria
4793,Celebrity Real Names,Easy,Text,The Flying Doctor service originated in which country?,Australia,Japan,South Africa,Brazil
4794,Celebrity Real Names,Easy,Text,The Great Barrier Reef is located off the shores of which country?,Australia,Mexico,Canada,China
4795,Celebrity Real Names,Easy,Text,"The highest quality of what is referred to as ""Cordon Bleu""?",Cooking,Music,Painting,Dance
4796,Celebrity Real Names,Easy,Text,The historic port of Piraeus serves which European capital?,Athens,Rome,Madrid,Berlin
4797,Celebrity Real Names,Easy,Text,The Hollister logo is in the shape of which creature?,Bird,Snake,Butterfly,Fish
4798,Celebrity Real Names,Easy,Text,The Inca people lived on which major continent before Spanish conquest?,South America,Africa,Asia,Europe
4799,Celebrity Real Names,Easy,Text,The Isle of Man lies in a sea between England and which country?,Ireland,Wales,Scotland,France
4800,Celebrity Real Names,Easy,Text,"The official logos for organic products in the EU, Japan, Australia and Canada all have which symbol?",Leaf,River,Globe,Butterfly
4801,Celebrity Real Names,Easy,Text,"The prefix ""neo"" means what?",New,Ancient,Extreme,Deep
4802,Celebrity Real Names,Easy,Text,The river Thames flows through which world capital?,London,Berlin,Paris  ,Athens
4803,Celebrity Real Names,Easy,Text,The Rosetta Stone was used to decode which ancient writing?,Hieroglyphics,Runes,Sanskrit,Cuneiform
4804,Celebrity Real Names,Easy,Text,The Salem witch trials were held in which US state?,Massachusetts,Maine,Idaho,Alabama
4805,Celebrity Real Names,Easy,Text,The season called Fall is known by which name in the UK?,Autumn,Michaelmas,Pentecost,Epiphany
4806,Celebrity Real Names,Easy,Text,The Space Needle is a tall landmark in which US city?,Seattle,San Francisco,Los Angeles,Chicago
4807,Celebrity Real Names,Easy,Text,The theory of which subject is known as jurisprudence?,Law,Medicine,Engineering,Advertising
4808,Celebrity Real Names,Easy,Text,The TSX is the stock exchange of which country?,Canada,Brazil,South Africa,Australia
4809,Celebrity Real Names,Easy,Text,Venetian gondolas are always which colour?,Black,Yellow,Red,Blue
4810,Celebrity Real Names,Easy,Text,Wall Street is a famous place on which island?,Manhattan,Long Island,Staten Island,Cuba
4811,Celebrity Real Names,Easy,Text,"Waterloo, Victoria, and Kings Cross are stations in which European city?",London,Moscow,Amsterdam,Brussels
4812,Celebrity Real Names,Easy,Text,"What are you ""going"" if you're not wearing underwear?",Commando,Marine,Sailor,Astronaut
4813,Celebrity Real Names,Easy,Text,What colour are taxis in New York?,Yellow,Red,Blue,Black
4814,Celebrity Real Names,Easy,Text,"What comes after Alpha, Bravo, and Charlie?",Delta,Disco,Denmark,Donald
4815,Celebrity Real Names,Easy,Text,What could you buy at a Speakeasy during the US period of prohibition?,Alcohol,Cigarettes,Cake,Clothing
4816,Celebrity Real Names,Easy,Text,What do birds lay?,Eggs,Elves,Worms,Feathers
4817,Celebrity Real Names,Easy,Text,What does the B in the marketing abbreviation B2B?,Business,Bold,Brown,British
4818,Celebrity Real Names,Easy,Text,"What does the FC stand for in names like Manchester Utd, FC?",Football Club,French Channel,Four Centuries,Fox Chariots
4819,Celebrity Real Names,Easy,Text,What French term is used when you think you're experiencing something you did before?,Déjà vu,Coup D'Etat,Carte Blanche,Avant-Garde
4820,Celebrity Real Names,Easy,Text,What is a bungalow?,Style of House,Citrus Fruit,Tropical Fish,Fitted Jacket
4821,Celebrity Real Names,Easy,Text,What is a quadrille?,Dance,Painting Method,Salad,Building
4822,Celebrity Real Names,Easy,Text,What is China's official language?,Mandarin,Japanese,Korean,Arabic
4823,Celebrity Real Names,Easy,Text,"What is in the detail, according to the famous saying?",Devil,Angel,Persuasion,Acceleration
4824,Celebrity Real Names,Easy,Text,What is the capital of New Zealand?,Wellington,Canberra,Christchurch,Darwin
4825,Celebrity Real Names,Easy,Text,What is the first name of Ben Affleck's acting brother?,Casey,Conrad ,Chuck,Cropley
4826,Celebrity Real Names,Easy,Text,What is the first name of famous director Tarantino?,Quentin,Rupert,Sebastian,Felix
4827,Celebrity Real Names,Easy,Text,What is the first name of former US President Ford?,Gerald,Marcus,Calvin,Abraham
4828,Celebrity Real Names,Easy,Text,What is the full surname of Spice Girl Melanie B?,Brown,Black,Bunning,Baines
4829,Celebrity Real Names,Easy,Text,What is the Hindi greeting and salutation also used by many Westerners?,Namaste,Shalom,Aloha,Ciao
4830,Celebrity Real Names,Easy,Text,What is the more common name for nacre?,Mother of Pearl,Sister of Gold,Brother of Diamond,Aunt of Silver
4831,Celebrity Real Names,Easy,Text,What is the most common surname in the United Kingdom?,Smith,Lewis,Jackson,Cox
4832,Celebrity Real Names,Easy,Text,What is the name for a successful German discount grocery store?,Aldi,Olli,Uppi,Elba
4833,Celebrity Real Names,Easy,Text,What is the name for an item of jewelry worn around the neck?,Medallion,Tiara,Earring,Bangle
4834,Celebrity Real Names,Easy,Text,What is the name for the academic study of religion?,Divinity,Distillation,Digression,Differentiation
4835,Celebrity Real Names,Easy,Text,What is the name for the person who delivers parcels or packages?,Courier,Lawyer,Diver,Farmer
4836,Celebrity Real Names,Easy,Text,What is the name for the United States Bullion Depository in Kentucky?,Fort Knox,White House,Pentagon,Chrysler Building
4837,Celebrity Real Names,Easy,Text,What is the name for the urban sport of running and jumping through streets and buildings?,Parkour,Baroque,BMX,Chaining
4838,Celebrity Real Names,Easy,Text,What is the name of the cover bought to reimburse expenses if something goes wrong?,Insurance,Mortgage,Loan,Credit Card
4839,Celebrity Real Names,Easy,Text,What is the name of the Duke and Duchess of Cambridge's oldest child?,George,Frederick,Philip,Edward
4840,Celebrity Real Names,Easy,Text,What is the national plant of Scotland?,Thistle,Rose,Ivy,Daffodil
4841,Celebrity Real Names,Easy,Text,What is the other title for the Duke of Sussex?,Prince Harry,The Pope,Queen Elizabeth II,David Beckham
4842,Celebrity Real Names,Easy,Text,What is the second letter of the Greek alphabet?,Beta,Gamma,Epsilon,Delta
4843,Celebrity Real Names,Easy,Text,"What is the Spanish word for ""hello""?",Hola,Por Favor,Adios,Cerveza
4844,Celebrity Real Names,Easy,Text,What is the surname of film directing siblings Ethan and Joel?,Coen,Collins,Cosmo,Corder
4845,Celebrity Real Names,Easy,Text,What is theology the study of?,Religion,Music,Sport,Art
4846,Celebrity Real Names,Easy,Text,What was Michelle Obama's surname before she married?,Robinson,Williamson,Thompson,Anderson
4847,Celebrity Real Names,Easy,Text,"What was the ""Club"" name of the first credit card?",Diners,Shoppers,Buyers,Eaters
4848,Celebrity Real Names,Easy,Text,What was the first name of Spanish artist Picasso?,Pablo,Juan,Hector,Andres
4849,Celebrity Real Names,Easy,Text,What was the name of Bambi's rabbit friend in the Disney movie?,Thumper,Knocker,Crasher,Dasher
4850,Celebrity Real Names,Easy,Text,"What was the name of the ""Lady"" in the Thunderbirds cartoons?",Penelope,Anastasia,Susannah,Camilla
4851,Celebrity Real Names,Easy,Text,What was the surname of the archaeologist who discovered the tomb of Tutankhamun?,Carter,Mitchell,Butcher,Baker
4852,Celebrity Real Names,Easy,Text,What word is the opposite of melt?,Freeze,Decompose,Compost,Boil
4853,Celebrity Real Names,Easy,Text,What would you do with a celeriac?,Eat It,Read It,Dance It,Drive It
4854,Celebrity Real Names,Easy,Text,What would you do with a skillet?,Cook In It,Wear It,Drink It,Drive It
4855,Celebrity Real Names,Easy,Text,What would you find at 0 degrees latitude?,Equator,Tropic of Cancer,Tropic of Capricorn,Arctic Circle
4856,Celebrity Real Names,Easy,Text,"When a new Pope has been chosen, which colour of smoke comes out the Vatican's chimney?",White,Black,Red,Blue
4857,Celebrity Real Names,Easy,Text,Where would you expect to see a chef working?,Restaurant,Library,Garage,Department Store
4858,Celebrity Real Names,Easy,Text,"Which ""Simply the Best"" singer became a Vogue cover star in 2013 at the age of 73?",Tina Turner,Madonna,Aretha Franklin,Barbra Streisand
4859,Celebrity Real Names,Easy,Text,Which actor famously crash-landed an aircraft in California in 2015?,Harrison Ford,Brad Pitt,Matt Damon,Al Pacino
4860,Celebrity Real Names,Easy,Text,Which actor was known for performing with Ginger Rogers?,Fred Astaire,Bing Crosby,Frank Sinatra,Bob Hope
4861,Celebrity Real Names,Easy,Text,Which American pioneer's son was killed when a party of pioneers entered Kentucky in 1773?,Daniel Boone,Johnny Appleseed,Paul Revere,Buffalo Bill
4862,Celebrity Real Names,Easy,Text,"Which animals are Dancer, Prancer, and Vixen?",Reindeer,Rabbits,Dogs,Cats
4863,Celebrity Real Names,Easy,Text,Which astronomical constellation represents twins?,Gemini,Taurus,Aries,Cancer
4864,Celebrity Real Names,Easy,Text,Which board game has 8 groups of differently coloured residential properties?,Monopoly,Clue,Scrabble,Chess
4865,Celebrity Real Names,Easy,Text,Which board game lets you swap 4 houses for a hotel?,Monopoly,Clue,Scrabble,Chess
4866,Celebrity Real Names,Easy,Text,Which body of water do you cross traveling from New York to London?,Atlantic Ocean,Pacific Ocean,Mediterranean Sea,Black Sea
4867,Celebrity Real Names,Easy,Text,Which book would you use to look up correct spellings of words?,Dictionary,Atlas,Facebook,Biography
4868,Celebrity Real Names,Easy,Text,Which branch of alternative medicine uses essential oils?,Aromatherapy,Reiki,Hypnosis,Acupuncture
4869,Celebrity Real Names,Easy,Text,Which British Royal retired from public engagements in 2017 at the age of 96?,Prince Philip,Princess Eugenie,Prince Andrew,Duke of Kent
4870,Celebrity Real Names,Easy,Text,Which car company makes the huge-selling Impala model?,Chevrolet,Cadillac,Chrysler,Citroen
4871,Celebrity Real Names,Easy,Text,Which car company makes the Passat model of car?,Volkswagen,Ford,Mini,BMW
4872,Celebrity Real Names,Easy,Text,"Which car maker's name means ""roll"" in Latin?",Volvo,Saab,Fiat,Ferrari
4873,Celebrity Real Names,Easy,Text,Which Caribbean island was famous for producing cigars?,Cuba,Jamaica,Barbados,Bahamas
4874,Celebrity Real Names,Easy,Text,Which colour do you get if you mix red and yellow?,Orange,Pink,Green,Blue
4875,Celebrity Real Names,Easy,Text,"Which comedian voiced the genie in the 90s animated ""Aladdin"" movie?",Robin Williams,Jim Carrey,Bob Hope,Chris Rock
4876,Celebrity Real Names,Easy,Text,Which company publishes the best-known World Records book?,Guinness,Bailey,Blackwell,Anderson
4877,Celebrity Real Names,Easy,Text,Which country has the world's largest National Park?,Canada,Australia,Russia ,Argentina
4878,Celebrity Real Names,Easy,Text,Which country lies directly north of the United States?,Canada,Mexico,Brazil,France
4879,Celebrity Real Names,Easy,Text,Which country occupies 47% of the South American land mass?,Brazil,Chile,Argentina,Ecuador
4880,Celebrity Real Names,Easy,Text,Which country takes its name from the Latin word for silver?,Argentina,Brazil,Chile,Angola
4881,Celebrity Real Names,Easy,Text,Which crop is Jamaica's main export?,Sugar,Rice,Wheat,Corn
4882,Celebrity Real Names,Easy,Text,Which crystal is put in watches to help them keep time?,Quartz,Emerald,Zirconium,Copper
4883,Celebrity Real Names,Easy,Text,Which English word is the definite article?,The,And,So,But
4884,Celebrity Real Names,Easy,Text,Which famous church suffered a devastating fire in April 2019?,Notre Dame Cathedral,Westminster Abbey,St Peter's Basilica,Cologne Cathedral
4885,Celebrity Real Names,Easy,Text,Which food is supposed to help keep vampires away?,Garlic,Coffee,Salt,Cinnamon
4886,Celebrity Real Names,Easy,Text,"Which four letter term means a religious painting, often on wood?",Icon,Cursor,Emoji,Avatar
4887,Celebrity Real Names,Easy,Text,Which French term means a young person who helps with childcare duties?,Au Pair,Ad Hoc,Au Natural,Avec Panache
4888,Celebrity Real Names,Easy,Text,"Which game do you play using Rooks, Knights, and Bishops?",Chess,Scrabble,Poker,Backgammon
